INS,0,0,1854,949,1249,1288,1010,410,104
INS,1,10000,1804,882,1240,1318,1028,430,63
INS,2,20000,1804,907,1164,1265,1027,421,222
INS,3,30000,1781,903,1184,1318,1006,369,212
INS,4,40000,1803,898,1202,1313,994,381,3
INS,5,50000,1774,909,1198,1275,1009,376,226
INS,6,60000,1756,908,1197,1292,1008,372,235
INS,7,70000,1776,880,1187,1280,1021,428,35
INS,8,80000,1839,925,1221,1371,998,414,248
INS,9,90000,1779,882,1220,1325,954,406,63
INS,10,100000,1822,920,1228,1342,1047,359,232
INS,11,110000,1810,948,1202,1331,1019,421,6
INS,12,120000,1796,889,1207,1249,1029,381,99
INS,13,130000,1790,861,1221,1319,969,386,111
INS,14,140000,1806,924,1182,1315,1008,375,192
INS,15,150000,1807,872,1219,1297,1030,404,228
INS,16,160000,1776,911,1181,1290,995,403,172
INS,17,170000,1832,888,1195,1279,979,422,228
INS,18,180000,1823,856,1193,1294,982,368,166
INS,19,190000,1792,879,1214,1329,1022,405,52
INS,20,200000,1788,927,1174,1281,1005,362,221
INS,21,210000,1803,947,1188,1306,978,412,79
INS,22,220000,1783,861,1213,1259,951,415,200
INS,23,230000,1792,874,1166,1278,968,423,236
INS,24,240000,1832,869,1191,1333,990,422,133
INS,25,250000,1784,959,1208,1275,1066,377,182
INS,26,260000,1773,973,1173,1283,1010,401,143
INS,27,270000,1810,922,1216,1313,1005,391,204
INS,28,280000,1803,886,1179,1321,1031,400,184
INS,29,290000,1817,870,1182,1280,989,407,126
INS,30,300000,1819,883,1225,1254,988,405,172
INS,31,310000,1787,893,1201,1303,987,450,236
INS,32,320000,1799,877,1217,1284,1013,372,194
INS,33,330000,1804,867,1258,1327,980,384,13
INS,34,340000,1856,892,1214,1296,988,412,68
INS,35,350000,1819,912,1221,1291,975,370,15
INS,36,360000,1830,875,1201,1273,989,466,78
INS,37,370000,1809,893,1172,1295,985,417,32
INS,38,380000,1830,936,1195,1294,1038,405,176
INS,39,390000,1806,884,1184,1305,979,388,41
INS,40,400000,1759,909,1185,1294,1024,376,59
INS,41,410000,1800,916,1170,1296,1005,425,141
INS,42,420000,1762,893,1166,1258,998,385,8
INS,43,430000,1791,899,1178,1239,981,387,38
INS,44,440000,1859,862,1177,1278,1000,437,193
INS,45,450000,1791,867,1210,1301,1004,391,161
INS,46,460000,1814,909,1150,1289,940,369,85
INS,47,470000,1790,923,1246,1292,1050,382,58
INS,48,480000,1800,910,1216,1329,980,422,49
INS,49,490000,1826,915,1193,1286,1030,422,81
INS,50,500000,1835,909,1218,1292,992,396,68
INS,51,510000,1804,866,1238,1328,983,415,77
INS,52,520000,1823,916,1233,1269,999,348,48
INS,53,530000,1809,925,1190,1371,1006,429,207
INS,54,540000,1788,906,1137,1322,1052,430,129
INS,55,550000,1804,894,1194,1376,975,400,154
INS,56,560000,1807,888,1180,1253,1005,407,68
INS,57,570000,1800,870,1180,1278,1025,399,97
INS,58,580000,1759,876,1161,1277,979,419,33
INS,59,590000,1801,924,1192,1287,971,447,201
INS,60,600000,1784,941,1197,1323,1005,345,191
INS,61,610000,1771,915,1215,1284,978,381,157
INS,62,620000,1799,880,1173,1268,964,394,108
INS,63,630000,1785,932,1223,1300,979,389,255
INS,64,640000,1776,865,1209,1324,1011,399,248
INS,65,650000,1828,892,1157,1317,965,400,240
INS,66,660000,1777,931,1178,1285,996,411,20
INS,67,670000,1787,841,1229,1276,1000,422,14
INS,68,680000,1806,896,1229,1300,1020,377,104
INS,69,690000,1843,876,1199,1277,968,386,42
